Comment_num,Text,Annotator
3,"The first two cantos of |||italics|||Don Juan|||/italics||| were published July 15, 1819. Because of its daring, irreverent, and “immoral” character, Byron’s publisher, John Murray, decided to publish it anonymously. Not only was the author’s name omitted, but even the publisher’s, for fear of legal reprisals. Byron, on hearing this was planned, asked that the dedication (in which he vehemently attacked Robert Southey) be omitted. Me might be abusive, even scurrilous, in his anger, but he was not cowardly. He said, “I won’t attack the dog in the dark. Such things are for scoundrels and renegados like himself.”
However, the dedication is said to have got into print somehow and to have been sold separately under the counter, so to speak. Southey was aware of its contents and must have been vastly discontented over them. Eventually, after Byron was dead, the dedication was restored to its place, and here it is — one of the most successful pieces of elaborate vilification in English poetry.",asimov
4,Robert Southey (1774–1843) was an English poet whose success far outstripped his talents. His best-known poems today remain |||italics|||The Battle of Blenheim|||/italics||| composed in 1798 and |||italics|||The Inchcape Rock|||/italics||| written somewhat later. Neither is very important. Byron hated him with a fervor that seemed but to increase with time (the hate was returned) and |||italics|||Don Juan|||/italics||| is dedicated to him with savage irony.,asimov
5,"The poet laureate is a court official appointed by the British Prime Minister. The poet laureate (“laureate” means decked with laurel and therefore honored, for in ancient Greece it was the custom to grant the winners at the Olympian games wreaths of laurel leaves) was supposed to write odes in honor of the monarch on his birthday and to celebrate other official occasions in similar fashion.
The poet laureate was by no means assuredly the best poet in the nation, for there were many who would be considered ineligible because their political views were unsuitable or their poetry unedifying. And the best poets often did not want a post which they viewed as that of the government’s tame poetic spaniel.
Nevertheless, the post brought in a little money and a great deal of prestige (with the non-poetic public) and, officially at least, the poet laureate might be considered the chief of British poets (hence “representative of all the race”).
Southey was the twelfth official poet laureate, having accepted the post in 1813, five years before this dedication was written. Byron had only contempt for the man and for the post, but that did not mean that he did not chafe at the fact that the public generally, in awe of the post, were consequently impressed by the man.",asimov
6,"The Tories were the conservative party of the nation (and modern Conservatives in Britain are still often referred to as Tories). They were the spokesmen of the landed gentry, of the established Church, of the Crown. In short, they represented what we would today call the Establishment.
Southey, in his youth, had been caught up (like many other young Englishmen of the time) in the revolutionary fervor that accompanied the French Revolution of 1789. With age, however, Southey became steadily more conservative and eventually became a pillar of the Tories and one of their most dependable spokesmen. In this respect, he was like a number of other literary figures who had been revolutionaries in their youth but who had hardened and yellowed with age and prosperity, so that Southey’s change had “lately been a common case”. Byron, who remained revolutionary and bitterly anti-Establishment to the end of his days, felt self-righteously superior to those he considered traitors to their youthful ideals, and his contempt for them knew no bounds.",asimov
7,"Southey, along with certain of the other poets-turned-conservative preached the joys of nature (safer, in a way, for conservatives, than considering the human condition) and made their home in the beautiful Lake District of Lancashire, Cumberland, and Westmoreland, just south of the Scottish border. They were referred to as the “Lake poets” and Byron converts that into the derisory “Lakers.”",asimov
8,"Since the Lakers were now conservative and sang the glories of King and Establishment, they might be compared to Mother Goose’s “four and twenty Blackbirds.” The use of the spelling “pye” is a reference to Henry James Pye, a particularly bad poet who had served as poet laureate from 1790 to 1813 and is otherwise a cipher in literary history. It was his death that put Southey in that seat, reflecting glory on his brother Lakers so that “Which pye being open’d they began to sing.”",asimov
9,"At the time Byron began |||italics|||Don Juan |||/italics|||in 1818, George III was still King of Great Britain and Ireland. He had by then been reigning for fifty-eight years, but had been subject to periods of mental imbalance and after 1811 had been permanently insane. His eldest son, Prince George, was officially declared Regent in 1811. The Prince Regent was a most licentious man, which in itself Byron would scarcely have objected to. However, as Prince of Wales, he had been at continual odds with his father and had therefore allied himself with the liberal Whigs. Once he became Regent, however, he broke with the Whigs and aligned himself with the Tories. He might therefore be expected to “admire such kind of food,” i. e., the praise of other renegades.",asimov
10,"Samuel Taylor Coleridge (1772–1834), unlike Southey, is recognized today (at his best) one of the giants among the poets. He is known today for the magnificent |||italics|||Rime of the Ancient Mariner|||/italics||| (1798) and |||italics|||Kubla Khan|||/italics||| (1797). Byron sympathized with the chronically impoverished Coleridge and had helped him financially and with recommendations. However, Coleridge, who had been liberal in his youth, also turned conservative in religion and in politics. Worse yet, from Byron’s standpoint, he was and remained a friend of Southey’s and no friend of Southey could be anything but a target for Byron’s ridicule.
Coleridge, in middle age, grew interested in German philosophy. The German philosopher Immanuel Kant had published his |||italics|||Critique of Pure Reason|||/italics||| in 1781 and introduced in it a system of thought called “transcendentialism.” Coleridge, in his |||italics|||Biographia Literaria|||/italics|||, published in 1817, was the first to undertake an explanation of this to the English-speaking world.",asimov
11,"Kant’s philosophy is notoriously difficult to understand, all the more so since it was written in the very best German-opaque. Coleridge, for all his ability to handle English, didn’t succeed in making it much clearer.",asimov
12,“A dry Bob” seems to have been then-current slang for intercourse without ejaculation (“lack of moisture”). The use of the phrase shocked and (of course) titillated the public and was a particularly effective way of indicating that Southey went through the motions of writing poetry without producing anything poetic.,asimov
